Name,Distance,Mass,Discovery Date,Stellar Magnitude
11 Comae Berenices b,304,19.4 Jupiters,2007,4.72307
11 Ursae Minoris b,409,14.74 Jupiters,2009,5.013
14 Andromedae b,246,4.8 Jupiters,2008,5.23133
14 Herculis b,58,8.053 Jupiters,2002,6.61935
16 Cygni B b,69,1.78 Jupiters,1996,6.215
17 Scorpii b,408,4.32 Jupiters,2020,5.22606
18 Delphini b,249,10.3 Jupiters,2008,5.51048
1RXS J160929.1-210524 b,454,8 Jupiters,2008,12.618
24 Bootis b,313,0.91 Jupiters,2018,5.59
24 Sextantis b,235,1.99 Jupiters,2010,6.4535
24 Sextantis c,235,0.86 Jupiters,2010,6.4535
2M0437 b,419,4 Jupiters,2021,16.186
2MASS J01033563-5515561 AB b,154,13 Jupiters,2013,15.788
2MASS J01225093-2439505 b,110,24.5 Jupiters,2013,14.244
2MASS J02192210-3925225 b,131,13.9 Jupiters,2015,
2MASS J04414489+2301513 b,393,7.5 Jupiters,2010,
2MASS J12073346-3932539 b,210,5 Jupiters,2004,20.15
2MASS J19383260+4603591 b,1293,1.9 Jupiters,2015,12.651
2MASS J22362452+4751425 b,227,12.5 Jupiters,2016,12.368
30 Arietis B b,146,13.82 Jupiters,2009,7.09209
42 Draconis b,296,3.88 Jupiters,2008,4.8262
47 Ursae Majoris b,45,2.53 Jupiters,1996,5.037
47 Ursae Majoris c,45,0.54 Jupiters,2001,5.037
47 Ursae Majoris d,45,1.64 Jupiters,2009,5.037
4 Ursae Majoris b,240,7.1 Jupiters,2006,4.5801
51 Eridani b,97,2 Jupiters,2015,5.21149
51 Pegasi b,50,0.46 Jupiters,1995,5.45309
55 Cancri b,41,0.8306 Jupiters,1996,5.96
55 Cancri c,41,0.1714 Jupiters,2004,5.96
55 Cancri d,41,3.878 Jupiters,2002,5.96
55 Cancri e,41,7.99 Earths,2004,5.96
55 Cancri f,41,0.141 Jupiters,2007,5.96
61 Virginis b,28,5.1 Earths,2009,4.735
61 Virginis c,28,18.2 Earths,2009,4.735
61 Virginis d,28,22.9 Earths,2009,4.735
6 Lyncis b,178,2.01 Jupiters,2008,5.87307
70 Virginis b,58,7.49 Jupiters,1996,4.96808
75 Ceti b,271,3 Jupiters,2012,5.3532
7 Canis Majoris b,65,1.85 Jupiters,2011,3.95
7 Canis Majoris c,65,0.87 Jupiters,2019,3.95
81 Ceti b,330,5.3 Jupiters,2008,5.64307
8 Ursae Minoris b,530,1.31 Jupiters,2015,6.83295
91 Aquarii b,144,3.2 Jupiters,2013,4.23946
AB Aurigae b,529,9 Jupiters,2022,7.076
AB Pictoris b,163,13.5 Jupiters,2005,9.13
AF Leporis b,88,3.2 Jupiters,2023,6.332
Alpha Arietis b,66,1.8 Jupiters,2010,2.00538
Alpha Tauri b,67,6.47 Jupiters,2015,0.872
AU Microscopii b,32,20.12 Earths,2020,8.81
AU Microscopii c,32,9.6 Earths,2021,8.81
b Centauri AB b,320,10.9 Jupiters,2021,4.01
BD-00 4475 b,139,25.05 Jupiters,2021,9.01
BD+03 2562 b,3492,6.4 Jupiters,2017,9.577
BD-06 1339 b,66,8.5 Earths,2013,9.7
BD-06 1339 c,66,0.17 Jupiters,2013,9.7
BD-08 2823 b,135,12.7132 Earths,2009,9.86
BD-08 2823 c,135,0.33 Jupiters,2009,9.86
BD-10 3166 b,275,0.59 Jupiters,2000,10.013
BD-11 4672 b,89,0.65 Jupiters,2014,10.03
BD-11 4672 c,89,15.37 Earths,2020,10.03
BD-13 2130 b,3018,9.78 Jupiters,2007,10.038
BD+14 4559 b,161,1.04 Jupiters,2009,9.78
BD+15 2375 b,2505,1.061 Jupiters,2016,10.41
BD+15 2940 b,1391,1.11 Jupiters,2013,9.01
BD-17 63 b,112,5.1 Jupiters,2008,9.62
BD+20 2457 b,5023,21.42 Jupiters,2009,9.743
BD+20 2457 c,5023,12.47 Jupiters,2009,9.743
BD+20 274 b,4314,4.2 Jupiters,2012,9.367
BD+20 594 b,585,22.2481 Earths,2016,10.849
BD-21 397 b,77,0.7 Jupiters,2023,9.84
BD-21 397 c,77,2.4 Jupiters,2023,9.84
BD+45 564 b,175,1.36 Jupiters,2021,9.67
BD+48 738 b,2843,0.91 Jupiters,2011,9.139
BD+48 740 b,2174,1.7 Jupiters,2018,8.69
BD+49 828 b,1442,1.6 Jupiters,2015,9.381
BD+55 362 b,171,0.72 Jupiters,2021,9.38
BD+60 1417 b,147,15 Jupiters,2021,9.374
BD+63 1405 b,124,10.4 Jupiters,2021,8.96
Beta Cancri b,290,7.8 Jupiters,2014,3.51012
Beta Pictoris b,64,11.729 Jupiters,2008,3.85
Beta Pictoris c,64,10.139 Jupiters,2019,3.85
Beta Ursae Minoris b,126,6.1 Jupiters,2014,2.0569
CD Ceti b,28,3.95 Earths,2020,13.95
CFBDSIR J145829+101343 b,75,10.5 Jupiters,2011,
CFHTWIR-Oph 98 b,,7.8 Jupiters,2021,
CHXR 73 b,621,12.569 Jupiters,2006,
CI Tauri b,515,11.6 Jupiters,2019,13.642
COCONUTS-2 b,36,6.3 Jupiters,2021,11.298
CoRoT-10 b,1104,2.75 Jupiters,2010,15.293
CoRoT-11 b,2137,2.33 Jupiters,2010,12.897
CoRoT-12 b,3674,0.917 Jupiters,2010,15.588
CoRoT-13 b,3748,1.308 Jupiters,2010,15.005
CoRoT-14 b,5691,7.6 Jupiters,2010,15.932
CoRoT-16 b,2389,0.535 Jupiters,2011,16.052
CoRoT-17 b,3837,2.43 Jupiters,2011,16.29
CoRoT-18 b,2495,3.47 Jupiters,2011,14.868
CoRoT-19 b,2579,1.11 Jupiters,2011,14.135
CoRoT-1 b,2570,1.03 Jupiters,2008,13.623
CoRoT-20 b,2753,4.3 Jupiters,2011,14.63
CoRoT-20 c,2753,17 Jupiters,2018,14.63
CoRoT-21 b,4563,2.26 Jupiters,2012,16.058
CoRoT-22 b,2046,12.2 Earths,2014,13.82
CoRoT-23 b,3461,2.8 Jupiters,2011,15.675
CoRoT-24 b,1930,5.7 Earths,2014,15.383
CoRoT-24 c,1930,28 Earths,2014,15.383
CoRoT-25 b,3600,0.27 Jupiters,2013,14.79
CoRoT-26 b,3409,0.52 Jupiters,2013,15.861
CoRoT-27 b,3296,10.39 Jupiters,2014,15.774
CoRoT-28 b,2499,0.484 Jupiters,2015,13.783
CoRoT-29 b,2631,0.85 Jupiters,2015,15.408
CoRoT-2 b,696,3.47 Jupiters,2008,12.516
CoRoT-30 b,3367,2.9 Jupiters,2020,15.571
CoRoT-31 b,6543,0.84 Jupiters,2020,15.479
CoRoT-35 b,3664,1.1 Jupiters,2022,15.635
CoRoT-36 b,3020,0.68 Jupiters,2022,13.126
CoRoT-3 b,2508,21.66 Jupiters,2008,13.448
CoRoT-4 b,2370,0.72 Jupiters,2008,13.652
CoRoT-5 b,2879,0.467 Jupiters,2009,14.043
CoRoT-6 b,2105,2.96 Jupiters,2009,13.961
CoRoT-7 b,522,4.07661 Earths,2009,11.728
CoRoT-7 c,522,8.4 Earths,2009,11.728
CoRoT-7 d,522,17.142 Earths,2022,11.728
CoRoT-8 b,1050,0.22 Jupiters,2010,14.792
CoRoT-9 b,1347,0.84 Jupiters,2009,13.637
CoRoTID 223977153 b,1881,0.15 Jupiters,2017,13.626
CT Chamaleontis b,622,17 Jupiters,2007,12.335
DE Canum Venaticorum b,100,12.0293 Jupiters,2018,12.956
